"Name","Area (ABD) (�m�)","Area (Filled) (�m�)","Aspect Ratio","Average Blue","Average Green","Average Red","Biovolume (Cylinder) (�m�)","Biovolume (P. Spheroid) (�m�)","Biovolume (Sphere) (�m�)","Calibration Factor","Calibration Image","Capture ID","Capture X (px)","Capture Y (px)","Ch1 Area","Ch1 Peak","Ch1 Width","Ch2 Area","Ch2 Peak","Ch2 Width","Ch2/Ch1 Ratio","Circle Fit","Circularity","Circularity (Hu)","Compactness","Convex Perimeter (�m)","Convexity","Date","Diameter (ABD) (�m)","Diameter (ESD) (�m)","Diameter (FD) (�m)","Edge Gradient","Elapsed Time (s)","Elongation","Feret Angle Max (�)","Feret Angle Min (�)","Fiber Curl","Fiber Straightness","Filter Score","Geodesic Aspect Ratio","Geodesic Length (�m)","Geodesic Thickness (�m)","Group ID","Image Height (px)","Image Width (px)","Intensity","Length (�m)","Particles Per Chain","Perimeter (�m)","Ratio Blue/Green","Ratio Red/Blue","Ratio Red/Green","Roughness","Sigma Intensity","Source Image","Sphere Complement (�m�)","Sphere Count","Sphere Unknown (�m�)","Sphere Volume (�m�)","Sqrt Circularity","Sum Intensity","Symmetry","Time","Timestamp","Transparency","UUID","Volume (ABD) (�m�)","Volume (ESD) (�m�)","Width (�m)"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2012.06","2012.06","0.98","0.00","0.00","0.00","82185.63","67208.27","67892.88","1.83","701.00","701.00","282.00","416.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.97","0.96","1.00","1.04","174.07","1.00","2024-10-30 09:55:48","50.61","51.74","50.61","198.14","31.66","1.00","60.00","0.00","0.00","1.15","0.00","1.00","47.12","47.12","688","42.00","42.00","57.82","54.03","1.00","188.49","0.00","0.00","0.00","1.08","32.80","45952","0.00","0.00","0.00","0.00","0.98","46890.00","0.94","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF3E906596C611EF937150EBF6EE7050","67892.88","72534.71","50.37"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1805.13","1805.13","0.96","0.00","0.00","0.00","82185.63","56539.33","57693.24","1.83","702.00","702.00","651.00","1222.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.88","1.00","1.14","168.55","1.00","2024-10-30 09:55:48","47.94","49.81","47.94","185.40","31.66","1.00","-5.00","40.00","0.00","1.15","0.00","1.00","47.12","47.12","689","41.00","43.00","39.70","54.03","1.00","188.49","0.00","0.00","0.00","1.12","40.07","45952","0.00","0.00","0.00","0.00","0.94","29336.00","0.87","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF3E92D796C611EF937150EBF6EE7050","57693.24","64704.00","46.71"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3184.82","3184.82","0.95","0.00","0.00","0.00","192067.47","132115.15","135204.20","1.83","703.00","703.00","589.00","1594.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.85","0.82","1.00","1.23","220.86","1.00","2024-10-30 09:55:48","63.68","66.60","63.68","152.10","31.66","1.00","-80.00","-50.00","0.00","1.13","0.00","1.00","62.53","62.53","690","51.00","50.00","72.30","70.52","1.00","250.14","0.00","0.00","0.00","1.13","47.45","45952","0.00","0.00","0.00","0.00","0.90","87559.00","0.79","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF3E964196C611EF937150EBF6EE7050","135204.20","154668.53","63.19"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2474.11","2647.07","0.96","0.00","0.00","0.00","127564.92","100475.06","92574.54","1.83","704.00","704.00","845.00","1086.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.91","1.00","1.10","199.45","1.00","2024-10-30 09:55:48","56.13","59.83","58.05","178.50","31.83","1.00","-15.00","-90.00","0.00","1.16","0.00","1.00","54.56","54.56","691","46.00","47.00","94.91","63.19","1.00","218.24","0.00","0.00","0.00","1.09","30.94","45953","0.00","0.00","0.00","0.00","0.95","92063.00","0.91","2024-10-30 09:55:48","2024-10-30 09:55:48","0.06","AF3E98B996C611EF937150EBF6EE7050","92574.54","112151.48","57.70"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3116.54","3116.54","0.98","0.00","0.00","0.00","171063.70","129965.22","130879.92","1.83","705.00","705.00","506.00","83.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.89","0.86","1.00","1.16","218.13","1.00","2024-10-30 09:55:48","62.99","65.73","62.99","137.66","31.91","1.00","-60.00","-15.00","0.00","1.17","0.00","1.00","60.17","60.17","692","49.00","49.00","43.01","70.52","1.00","240.67","0.00","0.00","0.00","1.10","43.92","45954","0.00","0.00","0.00","0.00","0.93","51096.00","0.83","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF3E9B2896C611EF937150EBF6EE7050","130879.92","148720.41","61.36"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","4538.12","4538.12","0.98","0.00","0.00","0.00","268540.64","227555.11","229973.17","1.83","706.00","706.00","738.00","874.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.93","0.90","1.00","1.12","256.08","1.00","2024-10-30 09:55:48","76.01","77.74","76.01","236.86","32.08","1.00","-75.00","0.00","0.00","1.14","0.00","1.00","69.93","69.93","693","56.00","56.00","35.75","79.67","1.00","279.70","0.00","0.00","0.00","1.09","32.02","45955","0.00","0.00","0.00","0.00","0.95","59413.00","0.89","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF3E9DAC96C611EF937150EBF6EE7050","229973.17","246010.18","76.01"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2491.66","2491.66","0.90","0.00","0.00","0.00","123391.96","88312.69","93561.59","1.83","707.00","707.00","525.00","201.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.89","0.88","0.99","1.13","194.47","1.00","2024-10-30 09:55:48","56.32","58.15","56.32","187.08","32.16","1.00","5.00","-90.00","0.00","1.14","0.00","1.00","53.96","53.96","694","43.00","47.00","37.01","61.36","1.00","215.84","0.00","0.00","0.00","1.11","49.03","45956","0.00","0.00","0.00","0.00","0.94","36124.00","0.89","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EA01A96C611EF937150EBF6EE7050","93561.59","102972.61","52.20"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2252.46","2252.46","0.93","0.00","0.00","0.00","122317.16","78110.70","80417.22","1.83","708.00","708.00","751.00","1209.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.86","0.81","0.99","1.23","190.34","1.00","2024-10-30 09:55:48","53.55","56.98","53.55","122.64","32.16","1.00","-60.00","60.00","0.00","1.17","0.00","1.00","53.80","53.80","695","45.00","44.00","69.55","63.19","1.00","215.21","0.00","0.00","0.00","1.13","63.68","45956","0.00","0.00","0.00","0.00","0.90","62175.00","0.82","2024-10-30 09:55:48","2024-10-30 09:55:48","0.06","AF3EA28C96C611EF937150EBF6EE7050","80417.22","96880.66","52.20"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","5985.53","5985.53","0.63","0.00","0.00","0.00","263431.46","312467.53","348351.31","1.83","709.00","709.00","391.00","261.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.45","0.56","0.82","1.78","333.71","0.92","2024-10-30 09:55:48","87.30","102.47","87.30","229.58","32.25","3.28","15.00","-80.00","0.19","0.84","0.00","0.31","153.23","46.79","696","60.00","83.00","28.22","129.13","1.00","400.04","0.00","0.00","0.00","1.20","41.11","45957","0.00","0.00","0.00","0.00","0.75","60298.00","0.56","2024-10-30 09:55:48","2024-10-30 09:55:48","0.15","AF3EA4F296C611EF937150EBF6EE7050","348351.31","563328.11","76.01"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2747.06","2747.06","0.95","0.00","0.00","0.00","130244.17","105361.36","108309.61","1.83","710.00","710.00","423.00","1407.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.93","1.00","1.08","202.03","1.00","2024-10-30 09:55:48","59.14","60.49","59.14","179.23","32.25","1.00","-85.00","0.00","0.00","1.15","0.00","1.00","54.94","54.94","697","48.00","46.00","34.46","63.19","1.00","219.76","0.00","0.00","0.00","1.09","36.54","45957","0.00","0.00","0.00","0.00","0.96","36634.00","0.94","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF3EA75F96C611EF937150EBF6EE7050","108309.61","115912.05","57.70"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","987.21","987.21","0.45","0.00","0.00","0.00","36138.61","13511.05","23333.44","1.83","711.00","711.00","636.00","1532.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.48","0.74","0.74","1.34","144.35","1.00","2024-10-30 09:55:48","35.45","42.38","35.45","128.16","32.33","1.59","-85.00","0.00","0.00","1.18","0.00","0.63","48.87","30.68","698","45.00","26.00","75.37","57.70","1.00","159.11","0.00","0.00","0.00","1.10","28.38","45958","0.00","0.00","0.00","0.00","0.86","33689.00","0.80","2024-10-30 09:55:48","2024-10-30 09:55:48","0.16","AF3EA9CF96C611EF937150EBF6EE7050","23333.44","39858.23","21.06"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1154.48","1154.48","0.96","0.00","0.00","0.00","40091.56","28774.58","29508.43","1.83","712.00","712.00","866.00","1302.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.97","1.00","1.03","135.48","1.00","2024-10-30 09:55:48","38.34","39.48","38.34","235.42","32.41","1.00","-80.00","0.00","0.00","1.11","0.00","1.00","37.10","37.10","699","36.00","35.00","104.65","41.21","1.00","148.38","0.00","0.00","0.00","1.10","74.66","45959","0.00","0.00","0.00","0.00","0.99","53161.00","0.94","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EAE6496C611EF937150EBF6EE7050","29508.43","32223.16","37.55"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","774.60","774.60","0.95","0.00","0.00","0.00","27395.63","15785.31","16217.50","1.83","713.00","713.00","784.00","1726.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.91","1.00","1.10","115.46","1.00","2024-10-30 09:55:48","31.40","32.82","31.40","187.54","32.41","1.00","-90.00","-45.00","0.00","1.04","0.00","1.00","32.67","32.67","700","33.00","32.00","67.79","33.88","1.00","130.69","0.00","0.00","0.00","1.13","31.67","45959","0.00","0.00","0.00","0.00","0.95","24947.00","0.89","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF3EB15D96C611EF937150EBF6EE7050","16217.50","18503.85","30.22"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","860.10","860.10","0.64","0.00","0.00","0.00","21157.33","17776.79","18975.39","1.83","714.00","714.00","744.00","1801.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.57","0.56","0.80","1.79","142.24","0.88","2024-10-30 09:55:48","33.09","41.41","33.09","102.11","32.41","3.33","10.00","-40.00","0.33","0.75","0.00","0.30","66.85","20.07","701","36.00","40.00","123.35","50.37","1.00","173.84","0.00","0.00","0.00","1.22","41.38","45959","0.00","0.00","0.00","0.00","0.75","49340.00","0.44","2024-10-30 09:55:48","2024-10-30 09:55:48","0.20","AF3EB3C696C611EF937150EBF6EE7050","18975.39","37192.57","30.22"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1668.12","1668.12","0.96","0.00","0.00","0.00","70625.15","50101.63","51251.14","1.83","715.00","715.00","585.00","1432.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.91","1.00","1.10","162.29","1.00","2024-10-30 09:55:48","46.09","47.67","46.09","165.38","32.50","1.00","-35.00","0.00","0.00","1.17","0.00","1.00","44.80","44.80","702","40.00","39.00","65.99","52.20","1.00","179.20","0.00","0.00","0.00","1.10","45.85","45960","0.00","0.00","0.00","0.00","0.95","45598.00","0.87","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EB62E96C611EF937150EBF6EE7050","51251.14","56728.56","44.87"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1309.98","1309.98","0.99","0.00","0.00","0.00","48678.95","35360.88","35666.48","1.83","716.00","716.00","324.00","1525.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.95","1.00","1.05","143.27","1.00","2024-10-30 09:55:48","40.84","41.52","40.84","242.22","32.50","1.00","-60.00","0.00","0.00","1.09","0.00","1.00","39.57","39.57","703","37.00","37.00","55.23","43.04","1.00","158.30","0.00","0.00","0.00","1.10","45.28","45960","0.00","0.00","0.00","0.00","0.97","31148.00","0.95","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF3EB89A96C611EF937150EBF6EE7050","35666.48","37467.40","41.21"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1220.92","1220.92","0.83","0.00","0.00","0.00","51283.52","29065.67","32091.72","1.83","717.00","717.00","595.00","1590.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.84","0.86","0.98","1.16","143.89","1.00","2024-10-30 09:55:48","39.43","41.87","39.43","166.87","32.50","1.00","-70.00","0.00","0.00","1.16","0.00","1.00","40.27","40.27","704","38.00","34.00","64.34","46.71","1.00","161.07","0.00","0.00","0.00","1.12","31.14","45960","0.00","0.00","0.00","0.00","0.93","34228.00","0.88","2024-10-30 09:55:48","2024-10-30 09:55:48","0.06","AF3EBB0A96C611EF937150EBF6EE7050","32091.72","38439.92","35.72"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1636.84","1636.84","0.97","0.00","0.00","0.00","63977.29","48842.07","49816.29","1.83","718.00","718.00","256.00","24.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.95","1.00","1.05","158.66","1.00","2024-10-30 09:55:48","45.65","46.76","45.65","142.57","32.58","1.00","15.00","-90.00","0.00","1.12","0.00","1.00","43.35","43.35","705","39.00","40.00","67.09","48.54","1.00","173.40","0.00","0.00","0.00","1.09","30.53","45961","0.00","0.00","0.00","0.00","0.98","45620.00","0.92","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF3EBD7996C611EF937150EBF6EE7050","49816.29","53521.66","44.87"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","761.33","761.33","0.96","0.00","0.00","0.00","25155.99","15385.60","15802.40","1.83","719.00","719.00","271.00","194.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.95","1.00","1.05","113.12","1.00","2024-10-30 09:55:48","31.13","32.00","31.13","188.08","32.58","1.00","10.00","20.00","0.00","1.07","0.00","1.00","31.76","31.76","706","32.00","32.00","116.68","33.88","1.00","127.03","0.00","0.00","0.00","1.12","35.43","45961","0.00","0.00","0.00","0.00","0.97","42354.00","0.93","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EBFE496C611EF937150EBF6EE7050","15802.40","17160.70","30.22"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2929.98","2929.98","0.98","0.00","0.00","0.00","144554.95","118096.00","119305.47","1.83","720.00","720.00","824.00","653.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.92","1.00","1.09","208.04","1.00","2024-10-30 09:55:48","61.08","62.38","61.08","174.47","32.58","1.00","0.00","-90.00","0.00","1.11","0.00","1.00","56.88","56.88","707","48.00","49.00","58.05","63.19","1.00","227.53","0.00","0.00","0.00","1.09","33.97","45961","0.00","0.00","0.00","0.00","0.96","65306.00","0.94","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF3EC25196C611EF937150EBF6EE7050","119305.47","127073.34","61.36"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1082.90","1082.90","0.99","0.00","0.00","0.00","38522.33","26750.73","26806.77","1.83","721.00","721.00","248.00","836.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.95","1.00","1.06","132.56","1.00","2024-10-30 09:55:48","37.13","38.41","37.13","162.99","32.58","1.00","-55.00","-90.00","0.00","1.13","0.00","1.00","36.61","36.61","708","34.00","35.00","71.08","41.21","1.00","146.42","0.00","0.00","0.00","1.10","29.37","45961","0.00","0.00","0.00","0.00","0.97","34259.00","0.92","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EC4BA96C611EF937150EBF6EE7050","26806.77","29677.27","35.72"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","833.29","833.29","0.95","0.00","0.00","0.00","27395.63","17557.60","18094.94","1.83","722.00","722.00","595.00","1434.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.96","1.00","1.04","117.38","1.00","2024-10-30 09:55:48","32.57","33.73","32.57","153.30","32.58","1.00","-85.00","0.00","0.00","1.09","0.00","1.00","32.67","32.67","709","33.00","32.00","66.55","35.72","1.00","130.69","0.00","0.00","0.00","1.11","32.59","45961","0.00","0.00","0.00","0.00","0.98","25956.00","0.93","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EC73596C611EF937150EBF6EE7050","18094.94","20096.65","32.05"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","7823.07","7823.07","0.97","0.00","0.00","0.00","606952.25","511674.81","520510.52","1.83","723.00","723.00","310.00","754.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.86","1.00","1.17","334.43","1.00","2024-10-30 09:55:48","99.80","102.72","99.80","229.91","32.66","1.00","-90.00","20.00","0.00","1.19","0.00","1.00","91.77","91.77","710","74.00","69.00","32.42","108.98","1.00","367.07","0.00","0.00","0.00","1.10","28.39","45962","0.00","0.00","0.00","0.00","0.92","88599.00","0.95","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EC9A296C611EF937150EBF6EE7050","520510.52","567534.13","97.99"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","790.57","790.57","0.87","0.00","0.00","0.00","20029.71","16721.75","16721.32","1.83","724.00","724.00","760.00","73.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.73","0.59","0.94","1.71","121.87","0.97","2024-10-30 09:55:48","31.73","35.05","31.73","89.44","32.75","3.04","-15.00","-90.00","0.57","0.64","0.00","0.33","61.73","20.33","711","32.00","35.00","133.51","39.38","1.00","164.11","0.00","0.00","0.00","1.35","58.57","45963","0.00","0.00","0.00","0.00","0.77","49932.00","0.59","2024-10-30 09:55:48","2024-10-30 09:55:48","0.09","AF3ECC1F96C611EF937150EBF6EE7050","16721.32","22554.89","32.05"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2782.41","2782.41","0.95","0.00","0.00","0.00","134904.16","107419.88","110406.77","1.83","725.00","725.00","573.00","117.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.92","1.00","1.09","204.05","1.00","2024-10-30 09:55:48","59.52","61.21","59.52","228.16","32.75","1.00","30.00","-65.00","0.00","1.17","0.00","1.00","55.59","55.59","712","47.00","48.00","29.32","65.02","1.00","222.35","0.00","0.00","0.00","1.09","40.52","45963","0.00","0.00","0.00","0.00","0.96","31521.00","0.94","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3ECEA896C611EF937150EBF6EE7050","110406.77","120054.90","57.70"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1019.92","1019.92","0.97","0.00","0.00","0.00","35702.76","24123.35","24502.82","1.83","726.00","726.00","237.00","907.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.95","1.00","1.05","128.47","1.00","2024-10-30 09:55:48","36.04","37.09","36.04","254.38","32.75","1.00","5.00","0.00","0.00","1.05","0.00","1.00","35.69","35.69","713","34.00","34.00","55.86","37.55","1.00","142.76","0.00","0.00","0.00","1.11","47.19","45963","0.00","0.00","0.00","0.00","0.97","25640.00","0.93","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3ED10A96C611EF937150EBF6EE7050","24502.82","26715.64","35.72"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3443.81","3443.81","0.89","0.00","0.00","0.00","188174.77","142653.40","152027.76","1.83","727.00","727.00","488.00","1769.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.88","0.89","0.99","1.13","226.24","1.00","2024-10-30 09:55:48","66.22","68.38","66.22","126.50","32.75","1.00","-85.00","0.00","0.00","1.19","0.00","1.00","62.11","62.11","714","54.00","49.00","44.00","74.18","1.00","248.44","0.00","0.00","0.00","1.10","42.71","45963","0.00","0.00","0.00","0.00","0.94","57116.00","0.93","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3ED37B96C611EF937150EBF6EE7050","152027.76","167409.78","63.19"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3419.95","3419.95","0.95","0.00","0.00","0.00","199758.09","147065.70","150450.36","1.83","729.00","729.00","483.00","418.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.91","0.85","0.99","1.18","227.15","1.00","2024-10-30 09:55:48","65.99","68.38","65.99","211.51","32.83","1.00","0.00","55.00","0.00","1.11","0.00","1.00","63.36","63.36","715","51.00","53.00","30.32","70.52","1.00","253.43","0.00","0.00","0.00","1.12","43.09","45964","0.00","0.00","0.00","0.00","0.92","39119.00","0.88","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3ED84F96C611EF937150EBF6EE7050","150450.36","167409.78","65.02"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2638.26","2638.26","0.95","0.00","0.00","0.00","134096.86","99375.35","101938.69","1.83","730.00","730.00","549.00","570.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.91","0.88","1.00","1.14","199.79","1.00","2024-10-30 09:55:48","57.96","59.83","57.96","215.41","32.91","1.00","-50.00","-90.00","0.00","1.14","0.00","1.00","55.48","55.48","716","46.00","48.00","31.93","63.19","1.00","221.91","0.00","0.00","0.00","1.11","41.84","45965","0.00","0.00","0.00","0.00","0.94","32762.00","0.87","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EDAB896C611EF937150EBF6EE7050","101938.69","112151.48","57.70"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1204.28","1204.28","0.97","0.00","0.00","0.00","42757.63","30964.43","31437.96","1.83","731.00","731.00","456.00","1543.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.96","1.00","1.04","138.14","1.00","2024-10-30 09:55:48","39.16","40.30","39.16","247.32","32.91","1.00","-85.00","0.00","0.00","1.09","0.00","1.00","37.90","37.90","717","36.00","35.00","53.68","41.21","1.00","151.60","0.00","0.00","0.00","1.10","45.33","45965","0.00","0.00","0.00","0.00","0.98","28235.00","0.93","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EDD2496C611EF937150EBF6EE7050","31437.96","34257.73","37.55"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3357.35","3357.35","0.96","0.00","0.00","0.00","174319.69","143640.06","146338.78","1.83","732.00","732.00","519.00","1209.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.91","1.00","1.10","222.39","1.00","2024-10-30 09:55:48","65.38","67.11","65.38","198.92","33.00","1.00","-75.00","0.00","0.00","1.16","0.00","1.00","60.55","60.55","718","51.00","50.00","31.61","70.52","1.00","242.18","0.00","0.00","0.00","1.09","37.01","45966","0.00","0.00","0.00","0.00","0.96","40109.00","0.91","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3EDF9A96C611EF937150EBF6EE7050","146338.78","158240.41","65.02"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","5386.08","5386.08","0.92","0.00","0.00","0.00","411968.51","288282.43","297353.75","1.83","733.00","733.00","460.00","998.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.83","0.79","0.99","1.27","289.40","0.98","2024-10-30 09:55:48","82.81","88.53","82.81","204.51","33.08","1.00","-60.00","0.00","0.00","1.26","0.00","1.00","80.65","80.65","719","65.00","58.00","29.75","101.65","1.00","322.59","0.00","0.00","0.00","1.11","39.73","45967","0.00","0.00","0.00","0.00","0.89","57747.00","0.84","2024-10-30 09:55:48","2024-10-30 09:55:48","0.06","AF3EE20F96C611EF937150EBF6EE7050","297353.75","363271.03","79.67"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1594.25","1594.25","0.98","0.00","0.00","0.00","63486.62","47226.48","47885.02","1.83","734.00","734.00","444.00","1237.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.94","1.00","1.07","157.40","1.00","2024-10-30 09:55:48","45.05","46.20","45.05","223.05","33.08","1.00","-75.00","0.00","0.00","1.12","0.00","1.00","43.24","43.24","720","39.00","39.00","35.65","48.54","1.00","172.95","0.00","0.00","0.00","1.10","38.05","45967","0.00","0.00","0.00","0.00","0.97","23709.00","0.94","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF3EE5B596C611EF937150EBF6EE7050","47885.02","51622.68","44.87"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1971.70","1971.70","0.90","0.00","0.00","0.00","95851.46","62276.87","65860.31","1.83","735.00","735.00","469.00","1495.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.87","0.85","0.99","1.17","177.00","1.00","2024-10-30 09:55:48","50.10","52.56","50.10","149.10","33.08","1.00","-80.00","0.00","0.00","1.20","0.00","1.00","49.60","49.60","721","46.00","40.00","43.37","59.53","1.00","198.41","0.00","0.00","0.00","1.12","40.49","45967","0.00","0.00","0.00","0.00","0.92","34562.00","0.86","2024-10-30 09:55:48","2024-10-30 09:55:48","0.05","AF3EE85796C611EF937150EBF6EE7050","65860.31","76012.32","46.71"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","5902.79","5902.79","0.88","0.00","0.00","0.00","454015.77","318026.81","341153.30","1.83","736.00","736.00","557.00","1824.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.86","0.80","0.99","1.25","295.74","0.99","2024-10-30 09:55:48","86.69","90.26","86.69","118.46","33.08","1.00","-90.00","5.00","0.00","1.20","0.00","1.00","83.30","83.30","722","69.00","60.00","41.67","99.82","1.00","333.21","0.00","0.00","0.00","1.13","45.40","45967","0.00","0.00","0.00","0.00","0.90","87915.00","0.88","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF3EEB4696C611EF937150EBF6EE7050","341153.30","384985.06","81.51"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1293.24","1551.76","0.95","0.00","0.00","0.00","78279.69","44879.10","34985.03","1.83","737.00","737.00","838.00","166.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.87","0.80","0.99","1.26","160.98","0.99","2024-10-30 09:55:48","40.58","47.27","44.45","218.06","33.16","1.00","-15.00","45.00","0.00","1.13","0.00","1.00","46.36","46.36","723","39.00","42.00","102.00","52.20","1.00","185.46","0.00","0.00","0.00","1.15","57.41","45968","0.00","0.00","0.00","0.00","0.89","56915.00","0.81","2024-10-30 09:55:48","2024-10-30 09:55:48","0.14","AF3EEDEF96C611EF937150EBF6EE7050","34985.03","55287.91","43.04"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","790.57","790.57","0.94","0.00","0.00","0.00","34903.80","16465.13","16721.32","1.83","738.00","738.00","242.00","651.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.83","0.79","0.99","1.27","120.73","1.00","2024-10-30 09:55:48","31.73","34.44","31.73","135.04","33.16","1.00","40.00","0.00","0.00","1.11","0.00","1.00","35.42","35.42","724","34.00","31.00","76.16","39.38","1.00","141.68","0.00","0.00","0.00","1.17","36.34","45968","0.00","0.00","0.00","0.00","0.89","28483.00","0.72","2024-10-30 09:55:48","2024-10-30 09:55:48","0.08","AF3F04C596C611EF937150EBF6EE7050","16721.32","21396.81","30.22"
